등록일,제목,링크
2022-12-21,제10회 2022 빅콘테스트 쇼케이스 참여 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2358
2022-12-21,공무원연금공단 7기 홍보시민참여단 청년서포터즈 모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2357
2022-12-20,[국비지원] 일본IT취업 'ABC digital expert' 광주 11기 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2352
2022-12-19,[멀티캠퍼스] (동신대학교) KDT 교육과정,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2348
2022-12-19,[네이버 커넥트재단] 부스트캠프 AI Tech 5기 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2347
2022-12-14,2023년도 병무홍보요원 공개모집 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2346
2022-12-13,[크래프톤] AI FELLOWSHIP PROGRAM 참여자 모집(~12/31),https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2344
2022-12-12,[K-move스쿨] 국비지원 2022년 전경련 IMI 미국 취업 글로벌 경영·금융·회계 2기 과정,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2343
2022-12-09,"[산업인력공단] 100%국비지원 미국취업 GTQ활용 글로벌 디지털 마케팅, 경영 과정",https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2341
2022-12-09,[K-move스쿨] 국비지원 2022년 전경련 IMI 미국 취업 글로벌 경영·금융·회계 2기 과정,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2340
2022-12-08,국비지원 「빅데이터 융합서비스 엔지니어양성 과정」 참여자 모집,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2339
2022-12-07,ICT기반 혁신제품 서비스 아이디어 Biz Project 공모전,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2338
2022-12-06,2022년 대학생 자원봉사 활성화 포럼 참여 안내,https://www.dsu.ac.kr/kr/index.php?pCode=dsunoti2&pg=8&mode=view&idx=2334
